########################################################################################
# This file contains data retrieved from the CDS https://cds.climate.copernicus.eu/datasets/insitu-observations-woudc-ozone-total-column-and-profiles
# This is a C3S product under the following licences:
# 20180314_Copernicus_License_V1.1
# woudc-data-policy
# This is a CSV file following the CDS convention cdm-obs
# Data source: TotalOzone
# Time extent: 20040101 - 20250331
# Geographic area (minlat/maxlat/minlon/maxlon): 50.80/50.80/4.35/4.35
# Variables selected and units:
# total_ozone_column [Dobson-units]
# standard_deviation_ozone [None]
# Uncertainty legend:
# No uncertainty columns available for this dataset.
########################################################################################
index,observation_id,report_id,observed_variable,observation_value,units,sensor_id,primary_station_id,height_of_station_above_sea_level,report_timestamp,longitude,latitude
180,478905,19412,total_ozone_column,321.8,Dobson-units,MKII,53,100.0,2004-02-12,4.35,50.8
181,478932,19413,total_ozone_column,317.1,Dobson-units,MKIII,53,100.0,2004-02-12,4.35,50.8
182,501947,20340,total_ozone_column,317.6,Dobson-units,Beck,53,100.0,2004-02-12,4.35,50.8
183,478905,19412,standard_deviation_ozone,2.7,None,MKII,53,100.0,2004-02-12,4.35,50.8
184,478932,19413,standard_deviation_ozone,6.8,None,MKIII,53,100.0,2004-02-12,4.35,50.8
185,501947,20340,standard_deviation_ozone,2.5,None,Beck,53,100.0,2004-02-12,4.35,50.8
186,478906,19412,total_ozone_column,343.6,Dobson-units,MKII,53,100.0,2004-02-13,4.35,50.8
187,478933,19413,total_ozone_column,337.0,Dobson-units,MKIII,53,100.0,2004-02-13,4.35,50.8
188,501948,20340,total_ozone_column,341.1,Dobson-units,Beck,53,100.0,2004-02-13,4.35,50.8
189,478906,19412,standard_deviation_ozone,3.8,None,MKII,53,100.0,2004-02-13,4.35,50.8
190,478933,19413,standard_deviation_ozone,8.4,None,MKIII,53,100.0,2004-02-13,4.35,50.8
191,501948,20340,standard_deviation_ozone,7.2,None,Beck,53,100.0,2004-02-13,4.35,50.8
192,478907,19412,total_ozone_column,369.0,Dobson-units,MKII,53,100.0,2004-02-14,4.35,50.8
193,478934,19413,total_ozone_column,361.6,Dobson-units,MKIII,53,100.0,2004-02-14,4.35,50.8
194,478907,19412,standard_deviation_ozone,1.8,None,MKII,53,100.0,2004-02-14,4.35,50.8
195,478934,19413,standard_deviation_ozone,10.4,None,MKIII,53,100.0,2004-02-14,4.35,50.8
196,478908,19412,total_ozone_column,351.8,Dobson-units,MKII,53,100.0,2004-02-15,4.35,50.8
197,478935,19413,total_ozone_column,353.2,Dobson-units,MKIII,53,100.0,2004-02-15,4.35,50.8
198,478908,19412,standard_deviation_ozone,2.7,None,MKII,53,100.0,2004-02-15,4.35,50.8
199,478935,19413,standard_deviation_ozone,2.5,None,MKIII,53,100.0,2004-02-15,4.35,50.8
